"","week","instagram","periscope","meerkat","pinterest","facebook","start","end"
"304","2012-07-29 - 2012-08-04",1,0,0,1,75,2012-07-29,2012-08-04
"305","2012-08-05 - 2012-08-11",1,0,0,1,73,2012-08-05,2012-08-11
"306","2012-08-12 - 2012-08-18",1,0,0,1,75,2012-08-12,2012-08-18
"307","2012-08-19 - 2012-08-25",1,0,0,1,75,2012-08-19,2012-08-25
"308","2012-08-26 - 2012-09-01",1,0,0,1,73,2012-08-26,2012-09-01
"309","2012-09-02 - 2012-09-08",1,0,0,1,76,2012-09-02,2012-09-08
"310","2012-09-09 - 2012-09-15",1,0,0,1,71,2012-09-09,2012-09-15
"311","2012-09-16 - 2012-09-22",1,0,0,1,72,2012-09-16,2012-09-22
"312","2012-09-23 - 2012-09-29",1,0,0,1,73,2012-09-23,2012-09-29
"313","2012-09-30 - 2012-10-06",1,0,0,1,82,2012-09-30,2012-10-06
"314","2012-10-07 - 2012-10-13",1,0,0,1,95,2012-10-07,2012-10-13
"315","2012-10-14 - 2012-10-20",1,0,0,1,94,2012-10-14,2012-10-20
"316","2012-10-21 - 2012-10-27",1,0,0,1,91,2012-10-21,2012-10-27
"317","2012-10-28 - 2012-11-03",1,0,0,1,93,2012-10-28,2012-11-03
"318","2012-11-04 - 2012-11-10",1,0,0,1,94,2012-11-04,2012-11-10
"319","2012-11-11 - 2012-11-17",1,0,0,1,94,2012-11-11,2012-11-17
"320","2012-11-18 - 2012-11-24",1,0,0,1,94,2012-11-18,2012-11-24
"321","2012-11-25 - 2012-12-01",1,0,0,1,95,2012-11-25,2012-12-01
"322","2012-12-02 - 2012-12-08",1,0,0,1,90,2012-12-02,2012-12-08
